date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,10.1,5.5,16.7,0,,21,6.1,,1028.6,
2022-01-02,9.5,5.1,14.5,0,,33,4.6,,1029.7,
2022-01-03,9.1,5.6,13.8,0,,235,5.6,,1026.7,
2022-01-04,7.4,5.2,12.1,7.3,,232,14.2,,1016.4,
2022-01-05,5.9,4.3,8.9,5,,290,14,,1019.5,
2022-01-06,4.1,1.1,7.6,0,,262,5.8,,1021.9,
2022-01-07,4.8,0.3,10.9,0,,342,7.3,,1028,
2022-01-08,3.4,-0.2,7.8,0,,241,6.6,,1029.9,
2022-01-09,8.8,2.8,13.2,0,,262,18.2,,1023.8,
2022-01-10,11.5,6.9,15.5,0,,310,11.2,,1021.9,
2022-01-11,9.2,5.3,14.4,0,,24,11,,1025.7,
2022-01-12,7.3,4.3,11.1,0,,31,9.6,,1029.4,
2022-01-13,5.6,2.4,8.9,0,,60,8.1,,1034.1,
2022-01-14,4.4,1,8.2,0,,43,7,,1033.9,
2022-01-15,3.9,-0.1,8.2,0,,39,5.3,,1030.5,
2022-01-16,3.9,-0.5,8.8,0,,39,5,,1031.8,
2022-01-17,4.8,0.4,10.3,0,,43,6.2,,1033.4,
2022-01-18,5.8,0.5,12,0,,36,5.1,,1031.9,
2022-01-19,6,1,12,0,,34,5.6,,1031,
2022-01-20,6.9,0.7,12.5,0,,33,9,,1029.5,
2022-01-21,4.9,1,8.9,0,,32,10.7,,1027.9,
2022-01-22,5,1.2,9.3,0,,37,10.4,,1030.8,
2022-01-23,5.8,2.4,9.3,0,,49,8.5,,1028.1,
2022-01-24,6.6,4,8.5,0,,40,7.9,,1028.8,
2022-01-25,7.9,4.3,10.4,0,,62,8.8,,1031.7,
2022-01-26,6.4,2.6,10.4,0,,48,8.6,,1030.7,
2022-01-27,7.7,3.3,12.9,0,,40,9,,1029.8,
2022-01-28,8.1,3.6,14.2,0,,36,10.5,,1032.1,
2022-01-29,8.8,2.3,15.5,0,,34,9.2,,1033.8,
2022-01-30,8.9,3.6,16,0,,27,6,,1030.1,
2022-01-31,8.1,1.2,15.8,0,,35,6.5,,1028.2,
2022-02-01,10.7,5.3,16.6,0,,23,15.5,,1030,
2022-02-02,10.6,4.6,18.6,0,,9,7.5,,1028.1,
2022-02-03,10.1,4.6,16.4,0,,322,6.5,,1023.1,
2022-02-04,9.6,6.5,13.2,0,,269,5,,1022.5,
2022-02-05,9.8,6.6,14.3,0,,39,15.1,,1025.3,
2022-02-06,7.8,3.6,13.2,0,,33,9.3,,1029.3,
2022-02-07,9.3,2.8,16.8,0,,41,11,,1030.4,
2022-02-08,10.2,5.2,15.7,0,,59,9.7,,1030.6,
2022-02-09,9.7,5.2,14.8,0,,59,6.3,,1030.2,
2022-02-10,9.3,3.7,15.5,0,,12,5.6,,1027.7,
2022-02-11,10.8,5.2,16.7,0,,17,6.7,,1025.7,
2022-02-12,10.5,6.9,14.8,0,,92,7,,1024,
2022-02-13,9.7,6.6,13.2,1,,222,13.7,,1020.1,
2022-02-14,8.1,5.1,11.9,0,,278,16.3,,1019.6,
2022-02-15,7.3,2.1,12.8,0,,273,9.6,,1028,
2022-02-16,9.4,4.7,14.8,0,,292,9.8,,1027.9,
2022-02-17,10.5,4.8,16.9,0,,152,5.5,,1026.7,
2022-02-18,11.8,5.6,18.1,0,,21,6.2,,1018.8,
2022-02-19,9.8,5.5,12.9,0,,47,17.9,,1022.3,
2022-02-20,7.8,1.9,14.1,0,,39,8.2,,1029.5,
2022-02-21,11,4.6,17.5,0,,25,9,,1028.7,
2022-02-22,12.5,5.5,19.5,0,,36,9.6,,1029.3,
2022-02-23,12.1,6.6,17.9,0,,51,8.3,,1024.1,
2022-02-24,11.3,6.6,16.1,0.3,,54,7,,1020.7,
2022-02-25,8.9,6.6,11,3.9,,44,16.5,,1024.7,
2022-02-26,8.4,6.7,9.6,3.4,,76,10.2,,1022.8,
2022-02-27,9.4,7.1,13.1,0.1,,81,5.8,,1023.4,
